stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code,zone_id
15488,30004134,"Amsterdam, Robert Fruinlaan",52.363987,4.830103,0,stoparea:2876,null,1,null,null
14424,30001110,"Amsterdam, Rode Kruisstraat",52.394553,4.928476,0,stoparea:2353,null,1,null,null
14423,30001111,"Amsterdam, Rode Kruisstraat",52.394878,4.928811,0,stoparea:2353,null,1,null,null
15021,30007015,"Amsterdam, Roelof Hartplein",52.353147,4.882067,0,stoparea:2740,null,0,null,null
15019,30007016,"Amsterdam, Roelof Hartplein",52.352746,4.882864,0,stoparea:2740,null,1,null,null
15020,30007017,"Amsterdam, Roelof Hartplein",52.352635,4.882058,0,stoparea:2740,null,1,null,null
2220748,30008154,"Amsterdam, Roetersstraat",52.362569,4.91094,0,stoparea:356346,null,1,null,null
2220751,30008155,"Amsterdam, Roetersstraat",52.362138,4.911136,0,stoparea:356346,null,1,null,null
1538696,30005035,"Amsterdam, Rokin",52.369394,4.892102,0,stoparea:285521,null,0,null,null
1538698,30005036,"Amsterdam, Rokin",52.369853,4.892302,0,stoparea:285521,null,1,null,null
1480229,30009577,"Amsterdam, Rokin",52.369278,4.892294,0,stoparea:285521,null,0,null,null
1480223,30009578,"Amsterdam, Rokin",52.369737,4.892421,0,stoparea:285521,null,0,null,null
1377857,30002127,"Amsterdam, Rozengracht",52.372525,4.875841,0,stoparea:2859,null,null,null,null
15925,30006030,"Amsterdam, Rozengracht",52.371878,4.875907,0,stoparea:2859,null,0,null,null
2220383,57000020,"Amsterdam, Rozengracht",52.372013,4.87592,0,stoparea:355602,null,0,null,CXX:57000020
365944,57320020,"Amsterdam, Ruigoord Dorp",52.407668,4.749989,0,stoparea:122142,null,0,null,CXX:57320020
354043,57320030,"Amsterdam, Ruigoord Dorp",52.406952,4.752292,0,stoparea:122142,null,0,null,CXX:57320030
1547444,30004042,"Amsterdam, Ruimzicht",52.35951,4.807581,0,stoparea:300278,null,0,null,null
1541016,30004043,"Amsterdam, Ruimzicht",52.35978,4.807489,0,stoparea:300278,null,0,null,null
14457,30007311,"Amsterdam, Ruysdaelkade",52.360239,4.886537,0,stoparea:2679,null,null,null,null
14459,30007312,"Amsterdam, Ruysdaelkade",52.360303,4.886683,0,stoparea:2679,null,null,null,null
103880,30004026,"Amsterdam, Saaftingestraat",52.360025,4.790017,0,stoparea:32958,null,0,null,null
103883,30004027,"Amsterdam, Saaftingestraat",52.360401,4.791406,0,stoparea:32958,null,0,null,null
1544008,30007513,"Amsterdam, Sacharovlaan",52.281796,4.832642,0,stoparea:300913,null,1,A,null
411169,30003117,"Amsterdam, Sam van Houtenstraat",52.378688,4.797902,0,stoparea:140123,null,0,null,null
411171,30003118,"Amsterdam, Sam van Houtenstraat",52.379767,4.798005,0,stoparea:140123,null,1,null,null
14493,30000336,"Amsterdam, Schaarsbergenstraat",52.292656,4.981578,0,stoparea:2474,null,0,null,null
14494,30000337,"Amsterdam, Schaarsbergenstraat",52.292754,4.981299,0,stoparea:2474,null,0,null,null
14655,30002342,"Amsterdam, Scharenburg",52.395708,4.779692,0,stoparea:2798,null,0,null,null
14857,30009072,"Amsterdam, Scheldeplein",52.343845,4.890567,0,stoparea:2466,null,0,null,null
1692121,30009073,"Amsterdam, Scheldeplein",52.344449,4.891133,0,stoparea:2466,null,1,null,null
15890,30009070,"Amsterdam, Scheldestraat",52.347022,4.889519,0,stoparea:2467,null,1,null,null
14860,30009071,"Amsterdam, Scheldestraat",52.347418,4.889617,0,stoparea:2467,null,0,null,null
14855,30009074,"Amsterdam, Scheldestraat",52.347478,4.891157,0,stoparea:2465,null,0,null,null
14856,30009075,"Amsterdam, Scheldestraat",52.347264,4.891615,0,stoparea:2465,null,0,null,null
15764,30001012,"Amsterdam, Schellingw.dijk 175",52.385723,4.958503,0,stoparea:2652,null,1,G-B,null
15765,30001013,"Amsterdam, Schellingw.dijk 175",52.385643,4.958798,0,stoparea:2652,null,1,G-C,null
15762,30001010,"Amsterdam, Schellingw.dijk 83",52.386354,4.953958,0,stoparea:2532,null,1,G-L,null
237994,30001011,"Amsterdam, Schellingw.dijk 83",52.386425,4.953796,0,stoparea:2532,null,1,G-K,null
14495,30000334,"Amsterdam, Scherpenzeelstraat",52.292767,4.9774,0,stoparea:2475,null,0,null,null
14496,30000335,"Amsterdam, Scherpenzeelstraat",52.292874,4.977238,0,stoparea:2475,null,0,null,null
14497,30000332,"Amsterdam, Schoonhovendreef",52.293818,4.974488,0,stoparea:2476,null,0,null,null
14498,30000333,"Amsterdam, Schoonhovendreef",52.294025,4.974633,0,stoparea:2476,null,1,null,null
560638,30000554,"Amsterdam, Science Park",52.354472,4.950879,0,stoparea:177382,null,0,null,null
560639,30000555,"Amsterdam, Science Park",52.354857,4.950332,0,stoparea:177382,null,0,null,null
652260,30000491,"Amsterdam, Science Park Aer",52.354782,4.952182,0,stoparea:196737,null,1,null,null
652259,30000492,"Amsterdam, Science Park Aer",52.355207,4.952692,0,stoparea:196737,null,1,null,null
14588,30000494,"Amsterdam, Science Park Aqua",52.356012,4.954167,0,stoparea:2669,null,0,null,null
1401153,30000497,"Amsterdam, Science Park Aqua",52.356084,4.954137,0,stoparea:2669,null,0,null,null
652270,30000506,"Amsterdam, Science Park Terra",52.354346,4.958307,0,stoparea:196743,null,0,null,null
